City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,severodvinsk,64.5635,39.8302,3.06,94,100,4.94,RU,1667835586
351,nouadhibou,20.931,-17.0347,30.99,23,0,4.12,MR,1667835587
352,kitimat,54.0524,-128.6534,-6.72,46,34,0.45,CA,1667835587
353,clervaux,50.0547,6.0314,12.32,87,100,5.21,LU,1667835587
354,mae hong son,19.3003,97.9685,20.27,78,4,0.9,TH,1667835588
355,kloulklubed,7.0419,134.2556,24.28,69,59,2.31,PW,1667835588
356,berlevag,70.8578,29.0864,1.97,87,100,2.57,NO,1667835588
357,kajiado,-1.8524,36.7768,20.9,54,95,7.13,KE,1667835589
358,chara,56.9064,118.2631,-11.17,80,74,0.52,RU,1667835589
359,moose factory,51.2585,-80.6094,0.0,86,100,5.66,CA,1667835590
360,mehnagar,25.8833,83.1167,22.82,48,28,0.39,IN,1667835590
361,quatre cocos,-20.2078,57.7625,24.06,73,15,4.98,MU,1667835591
362,faya,18.3851,42.4509,19.06,74,31,2.47,SA,1667835591
363,kisangani,0.5167,25.2,24.32,80,100,0.63,CD,1667835591
364,elze,52.1226,9.736,14.19,100,100,5.86,DE,1667835592
